Things Fall Apart;Chinua Achebe;1958;1958;Nigeria;English;209;things-fall-apart.jpg;https://en.wikipedia.org/wiki/Things_Fall_Apart
Fairy tales;Hans Christian Andersen;1835-37;1836;Denmark;Danish;784;fairy-tales.jpg;https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.
The Divine Comedy;Dante Alighieri;1308-1321;1315;Italy;Italian;928;the-divine-comedy.jpg;https://en.wikipedia.org/wiki/Divine_Comedy
The Epic Of Gilgamesh;Unknown;18th - 17th century BCE;-1700;Sumer and Akkadian Empire;Akkadian;160;the-epic-of-gilgamesh.jpg;https://en.wikipedia.org/wiki/Epic_of_Gilgamesh
The Book Of Job;Unknown;7th - 4th century BCE;-600;Achaemenid Empire;Hebrew;176;the-book-of-job.jpg;https://en.wikipedia.org/wiki/Book_of_Job
One Thousand and One Nights;Unknown;700-1500;1200;India/Iran/Iraq/Egypt/Tajikistan;Arabic;288;one-thousand-and-one-nights.jpg;https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights
Njál's Saga;Unknown;13th century;1350;Iceland;Old Norse;384;njals-saga.jpg;https://en.wikipedia.org/wiki/Nj%C3%A1ls_saga
Pride and Prejudice;Jane Austen;1813;1813;United Kingdom;English;226;pride-and-prejudice.jpg;https://en.wikipedia.org/wiki/Pride_and_Prejudice
Le Père Goriot;Honoré de Balzac;1835;1835;France;French;443;le-pere-goriot.jpg;https://en.wikipedia.org/wiki/Le_P%C3%A8re_Goriot
Molloy, Malone Dies, The Unnamable, the trilogy;Samuel Beckett;1951-53;1952;Republic of Ireland;French, English;256;molloy-malone-dies-the-unnamable.jpg;https://en.wikipedia.org/wiki/Molloy_(novel)
The Decameron;Giovanni Boccaccio;1349-53;1351;Italy;Italian;1024;the-decameron.jpg;https://en.wikipedia.org/wiki/The_Decameron
Ficciones;Jorge Luis Borges;1944-86;1965;Argentina;Spanish;224;ficciones.jpg;https://en.wikipedia.org/wiki/Ficciones
Wuthering Heights;Emily Brontë;1847;1847;United Kingdom;English;342;wuthering-heights.jpg;https://en.wikipedia.org/wiki/Wuthering_Heights
The Stranger;Albert Camus;1942;1942;Algeria, French Empire;French;185;l-etranger.jpg;https://en.wikipedia.org/wiki/The_Stranger_(novel)
Poems;Paul Celan;1952;1952;Romania, France;German;320;poems-paul-celan.jpg;
Journey to the End of the Night;Louis-Ferdinand Céline;1932;1932;France;French;505;voyage-au-bout-de-la-nuit.jpg;https://en.wikipedia.org/wiki/Journey_to_the_End_of_the_Night
Don Quijote De La Mancha;Miguel de Cervantes;1605 (part 1), 1615 (part 2);1610;Spain;Spanish;1056;don-quijote-de-la-mancha.jpg;https://en.wikipedia.org/wiki/Don_Quixote
The Canterbury Tales;Geoffrey Chaucer;14th century;1450;England;English;544;the-canterbury-tales.jpg;https://en.wikipedia.org/wiki/The_Canterbury_Tales
Stories;Anton Chekhov;1886;1886;Russia;Russian;194;stories-of-anton-chekhov.jpg;https://en.wikipedia.org/wiki/List_of_short_stories_by_Anton_Chekhov
Nostromo;Joseph Conrad;1904;1904;United Kingdom;English;320;nostromo.jpg;https://en.wikipedia.org/wiki/Nostromo
Great Expectations;Charles Dickens;1861;1861;United Kingdom;English;194;great-expectations.jpg;https://en.wikipedia.org/wiki/Great_Expectations
Jacques the Fatalist;Denis Diderot;1796;1796;France;French;596;jacques-the-fatalist.jpg;https://en.wikipedia.org/wiki/Jacques_the_Fatalist
Berlin Alexanderplatz;Alfred Döblin;1929;1929;Germany;German;600;berlin-alexanderplatz.jpg;https://en.wikipedia.org/wiki/Berlin_Alexanderplatz
Crime and Punishment;Fyodor Dostoevsky;1866;1866;Russia;Russian;551;crime-and-punishment.jpg;https://en.wikipedia.org/wiki/Crime_and_Punishment
The Idiot;Fyodor Dostoevsky;1869;1869;Russia;Russian;656;the-idiot.jpg;https://en.wikipedia.org/wiki/The_Idiot
The Possessed;Fyodor Dostoevsky;1872;1872;Russia;Russian;768;the-possessed.jpg;https://en.wikipedia.org/wiki/Demons_(Dostoyevsky_novel)
The Brothers Karamazov;Fyodor Dostoevsky;1880;1880;Russia;Russian;824;the-brothers-karamazov.jpg;https://en.wikipedia.org/wiki/The_Brothers_Karamazov
